13/04/2024 5:32:13Sup, logger test here
24/04/13T06:15:21.163890	[WARNING]	Home.cs:26 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:21.164047	[ERROR]		Home.cs:27 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:22.170535	[DEBUG]		Home.cs:24 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:22.170776	[INFO]		Home.cs:25 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:22.170885	[WARNING]	Home.cs:26 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:22.170980	[ERROR]		Home.cs:27 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:23.173848	[DEBUG]		Home.cs:24 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:23.174090	[INFO]		Home.cs:25 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:23.174216	[WARNING]	Home.cs:26 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:23.174321	[ERROR]		Home.cs:27 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:24.188147	[DEBUG]		Home.cs:24 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:24.188467	[INFO]		Home.cs:25 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:24.188638	[WARNING]	Home.cs:26 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:24.188764	[ERROR]		Home.cs:27 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:25.195006	[DEBUG]		Home.cs:24 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:25.195771	[INFO]		Home.cs:25 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:25.195930	[WARNING]	Home.cs:26 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:25.196083	[ERROR]		Home.cs:27 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:26.200423	[DEBUG]		Home.cs:24 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:26.200617	[INFO]		Home.cs:25 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:26.200775	[WARNING]	Home.cs:26 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:26.200912	[ERROR]		Home.cs:27 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:27.203672	[DEBUG]		Home.cs:24 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:27.203881	[INFO]		Home.cs:25 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:27.203979	[WARNING]	Home.cs:26 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:27.204066	[ERROR]		Home.cs:27 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:28.205666	[DEBUG]		Home.cs:24 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:28.205928	[INFO]		Home.cs:25 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:28.206040	[WARNING]	Home.cs:26 -> LoadInitConfig()			Sup, logger test here
24/04/13T06:15:28.206154	[ERROR]		Home.cs:27 -> LoadInitConfig()			Sup, logger test here
